title,ID,views,publishedTime,Video_seq
THE ELUSIVE White Seabass + PB Halibut and Squid,jDDH1BGHvzY,"95,443 views",7 days ago,1
Sushi Chef Shows How to Fillet Tuna and Eat It,ti_RUL3oFNA,"166,530 views",2 weeks ago,2
A DREAM TRIP For Bluefin Tuna,N6kxJ75z07E,"148,043 views",3 weeks ago,3
EPIC CRABBING End of the Season,k4GSJTk6RzI,"132,087 views",3 weeks ago,4
Restaurants Love This Fish | Black Cod Catch and Cook,0lx7vjn5C3s,"121,068 views",4 weeks ago,5
SUSTAINABLE SEAFOOD | Close Look at an Oyster Farm in NZ,cP7rufnXka0,"113,596 views",1 month ago,6
BEST TASTING CRAB | Massive Mudcrab in Australia,IAZVfY3bfbk,"198,529 views",1 month ago,7
SQUID ON THE BEACH | I didn't even see this coming,sngb_HC9rPI,"152,744 views",1 month ago,8
Island Mission In Australia! Feat. @rokkitkit,ik1SDYF3Cy8,"115,596 views",1 month ago,9
Deliciously Invasive Ep.6 | Pig Hunt,1st3J2r6m5w,"131,813 views",1 month ago,10
Announcement on New Project | Coastal Harvest NZ Pipis,QrqlwEqLDdY,"96,881 views",2 months ago,11
Catch and Cook Paua(abalone) in New Zealand,LGvXFh4j-uo,"144,594 views",2 months ago,12
HUGE RAINBOW TROUT in New Zealand,ChY2uUVspDc,"168,267 views",2 months ago,13
BIRTHDAY CAKE with Kingfish(yellowtail) | Back in New Zealand,qwf4gjWnGJg,"152,970 views",2 months ago,14
SQUID INK Catch and Cook,4pK4JbOnYB0,"237,392 views",2 months ago,15
The Art of Japanese Perfection | Catch and Cook,SbQgNdQloOc,"157,149 views",3 months ago,16
FISHING JAPAN | Master Class in Filleting Fish(Japanese Technique),okpIIprQ9VI,"163,766 views",3 months ago,17
Reunited with Family | Fishing and Cooking In Japan,7xfLmLTSXJw,"175,877 views",3 months ago,18
What Happened to the KINA(sea urchin) | Fishing and Diving NZ,Qm47A6nxvC4,"135,642 views",3 months ago,19
ALWAYS Prepare For The BIG ONE...,XEftRd4dzrE,"266,586 views",4 months ago,20
TUNA In New Zealand,lhmHHZ3vrDA,"244,912 views",4 months ago,21
I Made Unagi With This Big River Eel,nJ6y1xMFeK0,"221,002 views",4 months ago,22
Coastal Foraging is Easy Here | Catch and Cook Cockles,rpeq-D5t9KU,"198,025 views",4 months ago,23
I Ate This Easy To Catch Fish and WOW!,W9SGN2q_0MY,"184,228 views",4 months ago,24
The One We All Dream About and I LANDED IT | Ep.1 New Zealand Series,1Tm7ALC9R4s,"617,516 views",5 months ago,25
BIG FISH PULLS ME IN! These Fish Are Crazy,1BDHEBN3ixM,"219,910 views",5 months ago,26
MY FIRST WAHOO | All the Best Ways to Eat It,FiSWZ80DuK4,"211,285 views",5 months ago,27
COCONUT CRAB HUNT | We Eat One!,AH4u-FW1-hY,"499,759 views",5 months ago,28
OVERNIGHT MISSION Gotta Harvest Our Own Food | Hawaii,EgcTSussm7o,"243,575 views",5 months ago,29
