,publishedAt,channelId,title,description,thumbnails,channelTitle,tags,categoryId,liveBroadcastContent,localized,defaultAudioLanguage,video_ID
0,2023-08-08T23:00:29Z,UCNqpN335uVY9Sx_ZK_WuOAA,THE ELUSIVE White Seabass + PB Halibut and Squid,"✅ Support my channel and get Fishing Clash on your iOS/Android device for free https://fishingclash.link/OutdoorChefLife Use my gift code CHEFLIFE to get a $20 reward, and share your biggest catch in the pinned comment!

https://hexclad.com/outdoorcheflife

Chris' channel: @ChrisPfish2 

Buy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy

Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com
Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1","{'default': {'url': 'https://i.ytimg.com/vi/jDDH1BGHvzY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jDDH1BGHvzY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jDDH1BGHvzY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/jDDH1BGHvzY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/jDDH1BGHvzY/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,"['California fishing', 'halibut fishing', 'squid fishing', 'live bait fishing', 'White seabass']",24,none,"{'title': 'THE ELUSIVE White Seabass + PB Halibut and Squid', 'description': ""✅ Support my channel and get Fishing Clash on your iOS/Android device for free https://fishingclash.link/OutdoorChefLife Use my gift code CHEFLIFE to get a $20 reward, and share your biggest catch in the pinned comment!\n\nhttps://hexclad.com/outdoorcheflife\n\nChris' channel: @ChrisPfish2 \n\nBuy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy\n\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1""}",en,jDDH1BGHvzY
0,2023-08-01T23:00:23Z,UCNqpN335uVY9Sx_ZK_WuOAA,Sushi Chef Shows How to Fillet Tuna and Eat It,"Breakdown tuna and make tuna donburi

https://hexclad.com/outdoorcheflife

Buy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy

https://www.instagram.com/outdoorcheflife/

Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com

Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1

Outdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag","{'default': {'url': 'https://i.ytimg.com/vi/ti_RUL3oFNA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ti_RUL3oFNA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ti_RUL3oFNA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ti_RUL3oFNA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ti_RUL3oFNA/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,,24,none,"{'title': 'Sushi Chef Shows How to Fillet Tuna and Eat It', 'description': 'Breakdown tuna and make tuna donburi\n\nhttps://hexclad.com/outdoorcheflife\n\nBuy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy\n\nhttps://www.instagram.com/outdoorcheflife/\n\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\n\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1\n\nOutdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag'}",en,ti_RUL3oFNA
0,2023-07-25T23:10:33Z,UCNqpN335uVY9Sx_ZK_WuOAA,A DREAM TRIP For Bluefin Tuna,"Bluefin Tuna fishing out of San Diego, CA on the Pacifica 1.5day charter! 

Check out my hexclad page: https://hexclad.com/outdoorcheflife

https://www.instagram.com/outdoorcheflife/
Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com
Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1
Outdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag

Fishing gear provided by Okuma
Rod: PCH Customs XH
Reel: Makaira 15 
Spinning Reel: Salina 8000
Okuma Rods https://okumafishingusa.com/collections/rods
Okuma Reels https://okumafishingusa.com/collections/reels","{'default': {'url': 'https://i.ytimg.com/vi/N6kxJ75z07E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/N6kxJ75z07E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/N6kxJ75z07E/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/N6kxJ75z07E/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/N6kxJ75z07E/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,"['Tuna fishing', 'bluefin tuna trip', 'san diego fishing']",24,none,"{'title': 'A DREAM TRIP For Bluefin Tuna', 'description': 'Bluefin Tuna fishing out of San Diego, CA on the Pacifica 1.5day charter! \n\nCheck out my hexclad page: https://hexclad.com/outdoorcheflife\n\nhttps://www.instagram.com/outdoorcheflife/\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1\nOutdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag\n\nFishing gear provided by Okuma\nRod: PCH Customs XH\nReel: Makaira 15 \nSpinning Reel: Salina 8000\nOkuma Rods https://okumafishingusa.com/collections/rods\nOkuma Reels https://okumafishingusa.com/collections/reels'}",en,N6kxJ75z07E
0,2023-07-23T18:18:38Z,UCNqpN335uVY9Sx_ZK_WuOAA,EPIC CRABBING End of the Season,"BougeRV Aspen is on crowdfunding until the end of July , don’t miss the last opportunity to get the 45% off for it! https://www.indiegogo.com/projects/the-world-s-1st-dual-system-portable-refrigerator#/
#BougeRV #portablefridge #BougeRvAspen

Get 10% off Hexclad: https://hexclad.com/outdoorcheflife

Buy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy

https://www.instagram.com/outdoorcheflife/
Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com
Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1
Outdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag","{'default': {'url': 'https://i.ytimg.com/vi/k4GSJTk6RzI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/k4GSJTk6RzI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/k4GSJTk6RzI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/k4GSJTk6RzI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/k4GSJTk6RzI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,"['Crabbing in california', 'dugeness crab']",24,none,"{'title': 'EPIC CRABBING End of the Season', 'description': 'BougeRV Aspen is on crowdfunding until the end of July , don’t miss the last opportunity to get the 45% off for it! https://www.indiegogo.com/projects/the-world-s-1st-dual-system-portable-refrigerator#/\n#BougeRV #portablefridge #BougeRvAspen\n\nGet 10% off Hexclad: https://hexclad.com/outdoorcheflife\n\nBuy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy\n\nhttps://www.instagram.com/outdoorcheflife/\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1\nOutdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag'}",en,k4GSJTk6RzI
0,2023-07-18T23:00:02Z,UCNqpN335uVY9Sx_ZK_WuOAA,Restaurants Love This Fish | Black Cod Catch and Cook,"Catching fish in 300+ ft of water! 

Sponsored by Hexclad
10% off Hexclad here https://hexclad.com/outdoorcheflife

https://www.instagram.com/outdoorcheflife/

Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com

Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1","{'default': {'url': 'https://i.ytimg.com/vi/0lx7vjn5C3s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0lx7vjn5C3s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0lx7vjn5C3s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/0lx7vjn5C3s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/0lx7vjn5C3s/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,"['fishing deep water', 'black cod', 'cod', 'California coast']",24,none,"{'title': 'Restaurants Love This Fish | Black Cod Catch and Cook', 'description': 'Catching fish in 300+ ft of water! \n\nSponsored by Hexclad\n10% off Hexclad here https://hexclad.com/outdoorcheflife\n\nhttps://www.instagram.com/outdoorcheflife/\n\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\n\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1'}",en,0lx7vjn5C3s
0,2023-07-11T23:01:39Z,UCNqpN335uVY9Sx_ZK_WuOAA,SUSTAINABLE SEAFOOD | Close Look at an Oyster Farm in NZ,"Thanks to Jim for showing us around the oyster farm!
Mahurangi oysters: https://www.mahurangioysters.co.nz/oyster-farm/

Buy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy

https://www.instagram.com/outdoorcheflife/

Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com
Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1
Outdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag","{'default': {'url': 'https://i.ytimg.com/vi/cP7rufnXka0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cP7rufnXka0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cP7rufnXka0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/cP7rufnXka0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/cP7rufnXka0/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,"['new zealand', 'new zealand travel', 'oyster farming', 'sustainability', 'sustainable seafood']",24,none,"{'title': 'SUSTAINABLE SEAFOOD | Close Look at an Oyster Farm in NZ', 'description': 'Thanks to Jim for showing us around the oyster farm!\nMahurangi oysters: https://www.mahurangioysters.co.nz/oyster-farm/\n\nBuy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy\n\nhttps://www.instagram.com/outdoorcheflife/\n\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1\nOutdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag'}",en,cP7rufnXka0
0,2023-07-04T23:55:28Z,UCNqpN335uVY9Sx_ZK_WuOAA,BEST TASTING CRAB | Massive Mudcrab in Australia,"Watch our fishing day on Rokkit's channel: https://youtu.be/wULBHFQAqwE

Buy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy

https://www.instagram.com/outdoorcheflife/

Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com

Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1
Outdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag","{'default': {'url': 'https://i.ytimg.com/vi/IAZVfY3bfbk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IAZVfY3bfbk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IAZVfY3bfbk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/IAZVfY3bfbk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/IAZVfY3bfbk/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,"['catch and cook', 'mudcrab', 'crab catch and cook', 'catch clean cook mudcrab', 'australia', 'australian mudcrab', 'crab recipe']",24,none,"{'title': 'BEST TASTING CRAB | Massive Mudcrab in Australia', 'description': ""Watch our fishing day on Rokkit's channel: https://youtu.be/wULBHFQAqwE\n\nBuy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy\n\nhttps://www.instagram.com/outdoorcheflife/\n\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\n\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1\nOutdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag""}",en,IAZVfY3bfbk
0,2023-06-28T00:09:11Z,UCNqpN335uVY9Sx_ZK_WuOAA,SQUID ON THE BEACH | I didn't even see this coming,"Day 2 of our trip to Australia collab with @rokkitkit 

Rod's channel @rokkitkit 

Buy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy

https://www.instagram.com/outdoorcheflife/

Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com

Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1
Outdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag","{'default': {'url': 'https://i.ytimg.com/vi/sngb_HC9rPI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/sngb_HC9rPI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/sngb_HC9rPI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/sngb_HC9rPI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/sngb_HC9rPI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,"['squid', 'catch and cook', 'beach cooking', 'squid recipe', 'squid wrap']",24,none,"{'title': ""SQUID ON THE BEACH | I didn't even see this coming"", 'description': ""Day 2 of our trip to Australia collab with @rokkitkit \n\nRod's channel @rokkitkit \n\nBuy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy\n\nhttps://www.instagram.com/outdoorcheflife/\n\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\n\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1\nOutdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag""}",en,sngb_HC9rPI
0,2023-06-23T22:00:32Z,UCNqpN335uVY9Sx_ZK_WuOAA,Island Mission In Australia! Feat. @rokkitkit,"Out on our first Australian mission with Rod from @rokkitkit 

Check out @rokkitkit https://youtu.be/WNt876alCuY

Buy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy

Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com

Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1
Outdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag","{'default': {'url': 'https://i.ytimg.com/vi/ik1SDYF3Cy8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ik1SDYF3Cy8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ik1SDYF3Cy8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ik1SDYF3Cy8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ik1SDYF3Cy8/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,"['catch and cook', 'tropical island']",24,none,"{'title': 'Island Mission In Australia! Feat. @rokkitkit', 'description': 'Out on our first Australian mission with Rod from @rokkitkit \n\nCheck out @rokkitkit https://youtu.be/WNt876alCuY\n\nBuy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy\n\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\n\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1\nOutdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag'}",en,ik1SDYF3Cy8
0,2023-06-20T23:00:01Z,UCNqpN335uVY9Sx_ZK_WuOAA,Deliciously Invasive Ep.6 | Pig Hunt,"Out on the coromandel with Toby for a pig hunt.

Buy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy

Buy Outdoor Chef Life Merch http://www.Outdoorcheflife.com
Outdoor Chef Life Apron https://outdoorcheflife.com/merch-1
Outdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag","{'default': {'url': 'https://i.ytimg.com/vi/1st3J2r6m5w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1st3J2r6m5w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1st3J2r6m5w/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1st3J2r6m5w/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/1st3J2r6m5w/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Outdoor Chef Life,,24,none,"{'title': 'Deliciously Invasive Ep.6 | Pig Hunt', 'description': 'Out on the coromandel with Toby for a pig hunt.\n\nBuy Kelp Chili Crisp: https://tinyurl.com/mr4c6dhy\n\nBuy Outdoor Chef Life Merch http://www.Outdoorcheflife.com\nOutdoor Chef Life Apron https://outdoorcheflife.com/merch-1\nOutdoor Chef Life Knife Bag https://outdoorcheflife.com/merch-1/ols/products/outdoor-chef-life-knife-bag'}",en,1st3J2r6m5w
