,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
0,Ugy2LLSC4MvOa-G8tMV4AaABAg,be lucky get multiple video channel,1 month ago,@McOwenWilson,UCUpx289zCm904N5HkLyvnmA,105,https://yt3.ggpht.com/ytc/AOPolaQvwiPmroQRTAqQvMyZCOf9zqdWQGJ198DcdKgX=s176-c-k-c0x00ffffff-no-rj,True,False,1689633637.235576
1,UgxYCkRG9mtYGhBKgE54AaABAg,I love Collab thank allow we part all tasty journey,1 month ago,@bbk2325,UCCpWizuBPp4x38iW77E-2cA,75,https://yt3.ggpht.com/ySqE9Yd5HQGhYwMmko_-ub-VJ8PXCVyWnC2HxzviD4EDGQPGHBpdh7tnTrhyDLLYM2E-RRWFlQ=s176-c-k-c0x00ffffff-no-rj,True,False,1689633637.237559
2,Ugxn2WLmf53--d4piCl4AaABAg,the colab I ve always want 2 nice good dude Tube Loving so happy skin shine Rod mullet look sensational I predict Taku rockin first Aussie mullet time hit home Rob Tasmania,1 month ago (edited),@robroaring7175,UC1ySaQ7VOXOskQjnzT0xM_w,92,https://yt3.ggpht.com/cFR_WQ1y3FK84XIv7DCV1pYVgb47gRHo3Jmg714T0gXIFwzHGB5VITLFaLTIHHtL7AwM_Jd1nSA=s176-c-k-c0x00ffffff-no-rj,True,False,1689633637.24058
3,Ugy4f3Zgwt8Ofpu7yT14AaABAg,experience two channel collaborate simply bring even pure genuine happiness joy life,1 month ago,@user-kz1ve6zd5y,UCwaPuchHycbyUzdvvRPknpw,26,https://yt3.ggpht.com/lluaWC70VzGkBt3Olt20F2l88WInUjvM7yDCnuUFttJISWi_weRxVpgfIzub50zJlV1ZKrWVqQ=s176-c-k-c0x00ffffff-no-rj,True,False,1689633637.242574
4,Ugx--c4qBowKPV6Hyb54AaABAg,you rokkit kit people I would not hesitate invite home genuine people love respect outdoors story would able share would amazing I know ever kid grandkid they ll always laughter amazement you ve experience have good one,1 month ago,@spurlock2679,UCubAmk6J2qgdWZeyIHyW8sQ,16,https://yt3.ggpht.com/PjQmPKyTLByPd2dCXPk5_RuFIfAcDPYQh0rfFzF2IHJoE_EiVDirmp3A9X6yOqCKcrD6ky7oUA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633637.245581
5,UgxRqarwBnAiBo7iD0Z4AaABAg,I love drone shot start such beautiful peaceful shot also love always go ingredient try home course will not delicious great collab can not wait watch content,1 month ago,@jouxjia,UCdQ9RSX8eFGriLkwwEjqrRg,4,https://yt3.ggpht.com/PEzY1W2cjyC0h4POsr2CpemykvOHluhS1c9bbN6Z8RLHzGu3TbMxOzjMybKwRKHZY1QeqGcR7TE=s176-c-k-c0x00ffffff-no-rj,False,False,1689633637.247574
6,UgxVchs9d5ZG7bDyue94AaABAg,my two favorite YouTube channel together this amazing so happy you all get together Hope blast,1 month ago,@johnanglin9577,UCCLThnQUgRUitrbPtPXYt0w,22,https://yt3.ggpht.com/ytc/AOPolaQ1vSW3jbrZCb3AmLAbowjJYU02VrYt5Jd4FQ=s176-c-k-c0x00ffffff-no-rj,True,False,1689633637.250557
7,Ugx3j-jZk0HbzRy_IO54AaABAg,glad australian home country treat well incredible fish people,1 month ago,@ashleighcleaver9009,UC1PNvji858kCCD3kADmCjlw,31,https://yt3.ggpht.com/phanTF0D0L0JR2TTgG_RUtMtv9R_35JoV6IvBrgfb2MUQdCub6MWZpjObjiGiAl1D3DcNfh5=s176-c-k-c0x00ffffff-no-rj,True,False,1689633637.252558
8,Ugybzf3xNNSc2jOVPy94AaABAg,this collab make happy look like blast smile face whole time awesome trip we need update Rod I wanna know home crab feast go,1 month ago (edited),@Adrianmarcramos,UC2w8gZNfe93Mhvd4HRb0K8w,2,https://yt3.ggpht.com/ytc/AOPolaQKUiGE32BjT_AobaXydN7x-GfzAzNnC7tLCkLS9g=s176-c-k-c0x00ffffff-no-rj,False,False,1689633637.254556
9,UgyWJNpgSw8mZ6izuGp4AaABAg,wow colab I never know I need thank make happen guy,1 month ago,@jaxxic,UCNNjKqnxidCWp8l_rV_jtXA,3,https://yt3.ggpht.com/ytc/AOPolaSGpUYw1ND96FTp8n8ACo8omRYBy6CK30JdWMj5jw=s176-c-k-c0x00ffffff-no-rj,False,False,1689633637.257575
10,UgzCdOOb_u4qSa9IUEN4AaABAg,so glad guy get try muddie they amazing and fact get Rod be follow channel always enjoy watch content guy make see guy make content together awesome Hope fun fishing crab hope see stuff like future channel thank guy share we Ps jealous guy well I have not get go crab year miss taste muddie,1 month ago,@becdennison7861,UCYFZ9Z8irKzHylRUkSHPpFg,3,https://yt3.ggpht.com/ytc/AOPolaTwlXcZXloOpddx6f2u8F-uXZNv_b8qP2Ve3LeO3Q=s176-c-k-c0x00ffffff-no-rj,False,False,1689633637.259576
11,UgxAo4hDMoiQ1AcM5It4AaABAg,every time I see one mudcrab video I think somehow someway american need catch eat huge mudcrab point life that look insanely delicious what treat able share experience great guy Killer video dude,1 month ago,@SILSKY,UCHsjJD7lxXk9_srKFipm6Rw,9,https://yt3.ggpht.com/ytc/AOPolaSTv-5bOZSk6fnZSrd_RZMQRJEkF4KyH2hs9dzFwQ=s176-c-k-c0x00ffffff-no-rj,True,False,1689633637.262575
12,UgxzSThZ74UfzvVRv_54AaABAg,Hilarious watch two series I ve watch Rokkit Kit age love content Awesome series,1 month ago (edited),@FamilyKitchenwithMark,UCkxMTei-oZOcpszTlOmB7pA,7,https://yt3.ggpht.com/l9B9qdFifkHRO051uR8eO1WZMxqoEiulls6UEtqqkxZ_xm5VUsJ-o_vafwfxfzyH4A6BaJv_pus=s176-c-k-c0x00ffffff-no-rj,False,False,1689633637.264574
13,Ugx4OZCVkRJvlFiwqSF4AaABAg,Taku Jocelyn another awesome video keep great work the crab look delicious,1 month ago,@dennistani1986,UC1WnrwmXVen-vYtAlfPWwMw,9,https://yt3.ggpht.com/ytc/AOPolaQdgeJ9VwAs6VeJ_4BikZd0iLufCG5n-bckbg=s176-c-k-c0x00ffffff-no-rj,False,False,1689633637.267558
14,UgyulEuhEUBCSbItES14AaABAg,rod cool dude be watch channel year yours cool see you all work together Love watch adventure,1 month ago,@edwardm438,UCZ6Lk_3x3Cv17cKxr_M-d-Q,2,https://yt3.ggpht.com/ytc/AOPolaQwmurSPLDA_tbZqoLeNpjJP83RoXlw_hDg1vVaCRY=s176-c-k-c0x00ffffff-no-rj,False,False,1689633637.269578
15,UgwGZRoZCIcDSxy7GQN4AaABAg,so good see two favorite youtuber together one chef I hope enjoy Australia,2 weeks ago,@insaneshoota1,UC-JDXyo__PQof4pN1hR67Iw,0,https://yt3.ggpht.com/ytc/AOPolaQROZq5Q0ivT-fRr0GLCjDJG9Psh9QQEiLSpQ=s176-c-k-c0x00ffffff-no-rj,False,False,1691102437.271575
