ID,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10,Pol11,Pol12,Pol13,Pol14,Pol15,Pol16,Pol17,Pol18,Pol19,Pol20,Pol21,Pol22,Pol23,Pol24,Pol25,Pol26,Pol27,Pol28,Pol29,Pol30,Pol31,Pol32,Pol33,Pol34,Pol35,Pol36,Pol37,Pol38,Pol39,Pol40,Pol41,Pol42,Pol43,Pol44,Pol45,Pol46,Pol47,Pol48,Pol49,Pol50
0lx7vjn5C3s,-0.166666667,0.433333333,0.109444444,0.33537415,0.217410952,0.211111111,0.35,0.283333333,0.9,0.408333333,-0.111111111,0,0.7,0.25,0.511111111,0.568333333,0.4875,0.355555556,0.55,0.35,0,0,0.542857143,0.325,0,0.159090909,0.6,0,-0.083333333,-0.166666667,0,0,0.05,0.116666667,0.516666667,0.6,1,0.020833333,0.325,0,0.346285714,0.361904762,0.32,0.35,0.6,0.5,0.5,0.226666667,0.377156177,0.105357143
cP7rufnXka0,0,0.5,0.85,0.51,0,0.556666667,0.333333333,0.533333333,-0.056818182,0.7,0,0.6,0.9,0.483712121,0.6,0,0.5,0.55,0.333333333,0,0.5,0.8,0.5,0.25,-0.6,0.5,0.466666667,0,0,0,0.8,0,0,0.8,0,0,0.25,0.2,0.75,0,0,0,-0.6,0.142857143,0.25,0.65,0,0,,
IAZVfY3bfbk,0.166666667,0.5,0.602777778,0.422857143,0.54,0.342857143,0.633333333,0.466666667,0.575,0.1,0.466666667,0.54,0.666666667,0.4,0.933333333,0.533333333,0.9,0.197420635,0.833333333,0.364583333,-0.025,1,0,0.425,-0.05,0,0.416666667,0.8,0.607272727,0.133333333,-0.007692308,0.6,0.466666667,0.433333333,0.5,-0.091666667,0.712121212,0.487272727,0.307738095,0.222222222,0.633333333,0.583333333,0.8,0.8,0.65,0.8,0.75,0.933333333,5.55E-17,0.5
sngb_HC9rPI,0,0.25,0,0.8,0.525,0.8,0.449166667,0.675,0.466666667,0.5,0.7,0.566666667,0.431,0.55,0.441666667,-0.157142857,0.7,0.494444444,0.343452381,0.3,0,0.8,0,0.7,0,0,0,0.8,0,0,-0.3125,0,0,0.468181818,1,0.5,0.25,0.25,0.8,0.466666667,0.217142857,-0.025,0,0,0.38989899,0.118181818,0.545454545,0.55,0.633333333,0.25
ik1SDYF3Cy8,1,-0.033333333,-0.1,0.616666667,0.375,0.6,0.5,-0.1,0.3,0.75,0.45,0.434090909,0.3,0.7,0.8,0.475,0,-0.05,0.6,0.411111111,0.2,0.0625,0.5,0,0.4,0.75,0.6,0.533333333,0.65,0.8,0.65,0.35,0.14375,0,0.675,0.6,0.375,0.466666667,0.5,0.301785714,0.24375,0.433333333,0.55,0.45,0.75,0.6,0.278571429,0.121428571,0,0.5
1st3J2r6m5w,0.06875,0.57,0.433333333,0.301731602,0.2,0.6,0.95,0.3875,0.066666667,0.361428571,0.65,0.2875,0.303787879,0.4925,0.458333333,0.180892256,0.5,0.75,-0.05,0.377142857,0.533333333,0,0.7,0.675,0.65,0.5,0.28,0.160606061,0.75,0.477777778,0.2825,0.4,0.6,0.255681818,0.125,0.5,0,0.5,0.45,0,0.42,-0.133333333,-0.8,0,0,-0.002857143,0.5,0.375,0.16,
QrqlwEqLDdY,0.166666667,0,0.308939394,0.302083333,0.313939394,0.8,0.3,0.366666667,0.35,0.169444444,0.35,0.35,0,0.375,0.205555556,0.5,0.068214286,0.46875,0.1875,0.15,0,0,0.8,0,0.2,-0.2,0,0.1875,0,0.35,0.275,0,0.605555556,0.925,0,0.25,0.55,-0.25,0.5,0,0.433333333,0,0.5625,0.3,0.203787879,0,0.5,0,0,
LGvXFh4j-uo,0.7,0.454040404,0.333333333,0.437820513,0.7,0.49,0.15,0.31,0.05,0.167857143,0.466666667,0.25,0.14375,0.218181818,0.558333333,0.3,0.8,0.6,0.25,0.091666667,0,-0.166666667,0.461666667,0.32,0.6,0.108333333,0.2,0.466666667,0.5,0.066666667,0,0,0,0.6,0.55,0.312121212,0.675,0.333333333,0.55,0.5,0.3,0,0.01875,-0.0625,0.136363636,1,0.1,0.25,0.9,0.24
ChY2uUVspDc,0.625,0.6,0.9,0.5,0.400925926,0.75,0.378333333,0.334090909,0.136363636,-0.083333333,0.283333333,0.416666667,0.233333333,0.5,0.725,0.5,0.161111111,0.318055556,0.193571429,0.7,0.55,0.566666667,0,0.7,0.6,0.4,0.5,0.3,0,0,0,-0.05,0,0.507142857,0,0,0.5,0.44,0,0,0.6,0.240909091,0.225,-0.208333333,0.566666667,0,0.483333333,0.471487603,0.181060606,0.8
qwf4gjWnGJg,0.2,0.177083333,0.5,0.521590909,0,0.8,0.625,0.866666667,0.462337662,0.63,0.725,0.168181818,0.617272727,0.6125,0.55,0.391666667,0.866666667,0.525,0.8,0.65,0,0.3,0.289285714,0,0,0.4,0.013888889,0,0.3,0,0.575,0.415277778,0.7,0.6,-0.2,-0.5,0.466666667,0.36,0.4,0,0.3025,0,0.2,0.466666667,0.525,0,0.516666667,0.45,0.5,
