,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,polarity
0,UgzTumxZtRiv02Yfh1h4AaABAg,man I ve sub sine 30k sub amazing see grow still put educational content like I m learn also fun watch truly good world make happy see you re live dream once thank quality video keep,9 months ago,@gely_,UCbGrrbCRdXGPkNDfn4x5olg,11,https://yt3.ggpht.com/_OvXC8jjSJS4FijiR-5phgn67x9wRPgbMcGunWkQQ26UX8zq2-E1h5WXN6HnfJWiryzjUFQgx-0=s176-c-k-c0x00ffffff-no-rj,False,False,1667435782.824459,0.4643939393939394
1,Ugx5NPtcSZs3e6FV8kF4AaABAg,Taku never disappoint your knife skill work art keep excellent work I truly enjoy watch excursion I live vicariously thank,1 year ago,@ehowardjr,UCI_Yd0lml96G5DrMMO3ADKQ,111,https://yt3.ggpht.com/ytc/AOPolaRdTdFd8v2YbcCuYl_x6D0L-mF4cpR9XPCGOw=s176-c-k-c0x00ffffff-no-rj,True,False,1659486982.825473,0.5121212121212121
2,Ugwz-1BYRBPH7NTsO9J4AaABAg,you Jocelyn great couple you two produce beautiful educational chill content thank everything PS look forward another collaboration lief,1 year ago,@brianbrugge2938,UCuKMEOf2Eg_XPDG__s9LS8g,5,https://yt3.ggpht.com/ytc/AOPolaT0hcUR-pGiXLzbDI1lR1Nf5ieIWxmPxSSDru0tGgNFVuxgh-ZaX6A8CAUXI-ri=s176-c-k-c0x00ffffff-no-rj,False,False,1659486982.827469,0.6333333333333333
3,UgwkZPPbPc-aMZ9x6nd4AaABAg,man want soon it seem like surreal experience from catch clean cook smoker camping drink Unreal the salmon look incredible man,4 months ago,@Whataprick,UCAhCNKpQjCsWICn69DRunrA,2,https://yt3.ggpht.com/ytc/AOPolaRTp5By3D8EuJjRZQ4v6-jaU0n2wvfQlcF4lyXaan5RCgYhesfpdyksQf89u6Q0=s176-c-k-c0x00ffffff-no-rj,False,False,1680482182.830465,0.5055555555555555
4,UgxgcvD39rYJCoRbj7J4AaABAg,so dope see Alaska be huge fan long time love see Alaska video execute well,1 year ago,@sassykitty9,UC0nwWXfVEHs9ObfZrF5uJiw,20,https://yt3.ggpht.com/ytc/AOPolaTjUVl32mH5jEELVKJ3Q0OqZz3YskSOBEYRYdHU=s176-c-k-c0x00ffffff-no-rj,False,False,1659486982.831484,0.2833333333333334
5,UgwEtTW51p3TC-sgQn54AaABAg,I spend 7 year Alaska exactly didbeautiful video,11 months ago,@fredcarter7003,UCcaDAWARNGbyjvQ0bopXRQw,27,https://yt3.ggpht.com/ytc/AOPolaQ2Ph9JduMRH8IumsrZgCNyGqWIr5v_yptYv_LAaPo=s176-c-k-c0x00ffffff-no-rj,False,False,1662165382.83347,0.25
6,Ugyt6sTki00Lggaw1yZ4AaABAg,what surprise I recently start follow channel We utilize herring recipe last month it turn great happy see many stomping ground Alaska,10 months ago,@monkey3333_swolsphinx,UCnrQfOAmvbS2x76WyFuShHQ,3,https://yt3.ggpht.com/kM3C24Nx_rG7-QiKkfeZZGZTyjYFcxX47pxtxTiX3dgC4PCvic-lxH--yOfR8sDUIjyDz-ja7DE=s176-c-k-c0x00ffffff-no-rj,False,False,1664757382.835469,0.42000000000000004
7,UgysWVJljuueNV6uSqt4AaABAg,just amazing fishing well cooking skill Loved idea stick hold Salmon will definitely use technique next fishing adventure India Thank,9 months ago,@SylvesterMarshallPune,UC1Kehpgu6wMzmZ3umsYMRbw,1,https://yt3.ggpht.com/ytc/AOPolaQ5BU-f7KvkOp8pnbAVYMw8igtgZ6WQCbbYtnWp=s176-c-k-c0x00ffffff-no-rj,False,False,1667435782.838516,0.325
8,UgxWtggcPRtrBM7vdbN4AaABAg,it great watch professional chef work the precise knife skill constantly taste make sure seasoning spot a good reminder I get lazy,9 months ago,@OutdoorAdventureTV,UCRKyrHIxHCu3DTWnDvGqAJg,6,https://yt3.ggpht.com/ytc/AOPolaQgiI9Mz4GjZxGR9Fl6MwGjRCBROHTMvtPDSd4P=s176-c-k-c0x00ffffff-no-rj,False,False,1667435782.839516,0.32142857142857145
9,UgyOfnUAc-_mCtIr_Ht4AaABAg,patience skill need insane hat sir,10 months ago,@sedevri864,UCBrTmADOqhP_caB-w1O53RQ,17,https://yt3.ggpht.com/ytc/AOPolaTk_qGZNL0Du_jpKMKmlhXeNbqpjrlLzqJua_-d=s176-c-k-c0x00ffffff-no-rj,False,False,1664757382.841515,-1.0
10,Ugxa5UOsTTLu72kXndd4AaABAg.9eCcaFcsahA9gObvME5Mkr,bruh,10 months ago,@cryoimpact,UCWrL0pweUs9heYhJD962L4g,7,https://yt3.ggpht.com/VVViJ6zNKcYuF3WeE1_EX81yuLguVqdoYDvc0SvG7IzcpTizNfxdjaPfuTQ2B0T1zb7TMu5pTQ=s176-c-k-c0x00ffffff-no-rj,False,True,1664757383.063936,0.0
